id,Municipality,district_id
1,Phungling,1
2,Aathrai Tribeni,1
3,Sidingwa,1
4,Phaktanglung,1
5,Mikkwakhola,1
6,Meringden,1
7,Maiwakhola,1
8,Pathibhara Yangwarak,1
9,Sirijangha,1
10,Phidim,2
11,Hilihang,2
12,Kummayak,2
13,Miklajung,2
14,Phalelung,2
15,Phalgunanda,2
16,Tumbewa,2
17,Yangawarak,2
18,Ilam,3
19,Deumai,3
20,Mai,3
21,Suryodaya,3
22,Phakphokthum,3
23,Mai Jogmai,3
24,Chulachuli,3
25,Rong,3
26,Mangsebung,3
27,Sandakpur,3
28,Mechinagar,4
29,Bhadrapur,4
30,Birtamod,4
31,Arjundhara,4
32,Kankai,4
33,Shivasatakshi,4
34,Gauradaha,4
35,Damak,4
36,Buddhashanti,4
37,Haldibari,4
38,Kachankawal,4
39,Barhadashi,4
40,Jhapa,4
41,Gauriganj,4
42,Kamal,4
43,Aathrai,5
44,Chhathar,5
45,Laligurans,5
46,Menchhayayem,5
47,Myanglung,5
48,Phedap,5
49,Bhotkhola,6
50,Chainpur,6
51,Chichila,6
52,Dharmadevi,6
53,Khandbari,6
54,Madi,6
55,Makalu,6
56,Panchkhapan,6
57,Savapokhari,6
58,Silichong,6
59,Dhankuta,7
60,Pakhribas,7
61,Mahalaxmi,7
62,Sangurigadhi,7
63,Chaubise,7
64,Shahidbhumi,7
65,Chhathar Jorpati,7
66,Biratnagar,8
67,Sundar Haraicha,8
68,Belbari,8
69,Pathari-Sanischare,8
70,Urlabari,8
71,Rangeli,8
72,Letang,8
73,Ratuwamai,8
74,Sunawarshi,8
75,Kerabari,8
76,Miklajung,8
77,Kanepokhari,8
78,Budhiganga,8
79,Gramthan,8
80,Katahari,8
81,Dhanpalthan,8
82,Jahada,8
83,Itahari,9
84,Dharan,9
85,Inaruwa,9
86,Duhabi,9
87,Ramdhuni-Bhasi,9
88,Barahachhetra,9
89,Koshi,9
90,Gadhi,9
91,Barju,9
92,Bhokraha Narsingh,9
93,Harinagar,9
94,Dewanganj,9
95,Bhojpur,10
96,Shadanand,10
97,Hatuwagadhi,10
98,Ramprasad Rai,10
99,Aamchok,10
100,Tyamke Maiyunm,10
101,Arun Gaunpalika,10
102,Pauwadungma,10
103,Salpasilichho,10
104,Triyuga,11
105,Katari,11
106,Chaudandigadhi,11
107,Belaka,11
108,Udayapurgadhi,11
109,Rautamai,11
110,Tapli,11
111,Limchungbung,11
112,Diktel Rupakot Majhuwagadhi,12
113,Halesi Tuwachung,12
114,Khotehang,12
115,Diprung,12
116,Aiselukharka,12
117,Jantedhunga,12
118,Kepilasgadhi,12
119,Barahpokhari,12
120,Rawabesi,12
121,Sakela,12
122,Solududhkunda,13
123,Dudhakaushika,13
124,Necha Salyan,13
125,Dudhkoshi,13
126,Maha Kulung,13
127,Sotang,13
128,Likhu Pike,13
129,Khumbu Pasanglhamu,13
130,Siddhicharan,14
131,Champadevi,14
132,Chisankhugadhi,14
133,Khijidemba,14
134,Likhu,14
135,Manebhanjyang,14
136,Molung,14
137,Sunkoshi,14
138,Rajbiraj,15
139,Saptakoshi,15
140,Kanchanrup,15
141,Shambhunath,15
142,Khadak,15
143,Surunga,15
144,Bode Barsain,15
145,Dakneshwori,15
146,Hanumannagar Kankalini,15
147,Agnisair Krishna Savaran,15
148,Rupani,15
149,Balan-Bihul,15
150,Rajgadh,15
151,Bishnupur,15
152,Mahadewa,15
153,Tirahut,15
154,Tilathi Koiladi,15
155,Chhinnamasta,15
156,Lahan,16
157,Siraha,16
158,Golbazar,16
159,Mirchaiya,16
160,Kalyanpur,16
161,Dhangadhimai,16
162,Sukhipur,16
163,Karjanha,16
164,Bariyarpatti,16
165,Laxmipur Patari,16
166,Naraha,16
167,Bishnupur,16
168,Arnama,16
169,Bhagwanpur,16
170,Nawarajpur,16
171,Sakhuwanankarkatti,16
172,Aurahi,16
173,Janakpur,17
174,Kshireshwor,17
175,Ganeshman Charnath,17
176,Dhanusadham,17
177,Nagarain,17
178,Bideha,17
179,Mithila,17
180,Sahidnagar,17
181,Sabaila,17
182,Kamala,17
183,Janaknandini,17
184,Bateshwor,17
185,Mukhiyapatti Musharniya,17
186,Laxminiya,17
187,Aurahi,17
188,Hansapur,17
189,Mithila Bihari,17
190,Dhanauji,17
191,Jaleshwor,18
192,Bardibas,18
193,Gaushala,18
194,Aurahi,18
195,Bhangaha,18
196,Balawa,18
197,Loharpatti,18
198,Manara Siswa,18
199,Matihani,18
200,Ramgopalpur,18
201,Ekdara,18
202,Mahottari,18
203,Pipra,18
204,Samsi,18
205,Sonama,18
206,Malangwa,19
207,Lalbandi,19
208,Hariwan,19
209,Ishworpur,19
210,Kabilasi,19
211,Bagmati,19
212,Haripur,19
213,Haripurwa,19
214,Barhathawa,19
215,Balara,19
216,Godaita,19
217,Parsa,19
218,Brahmapuri,19
219,Chandranagar,19
220,Kaudena,19
221,Bishnu,19
222,Ramnagar,19
223,Dhankaul,19
224,Basbariya,19
225,Netraganj,19
226,Chandrapur,20
227,Gaur,20
228,Brindaban,20
229,Garuda,20
230,Katahariya,20
231,Madhav Narayan,20
232,Gujara,20
233,Paroha,20
234,Rajpur,20
235,Baudhimai,20
236,Dewahi Gonahi,20
237,Durga Bhagwati,20
238,Gadhimai,20
239,Phatuwa Bijayapur,20
240,Rajdevi,20
241,Maulapur,20
242,Yamunamai,20
243,Ishnath,20
244,Kalaiya,21
245,Jitpur Simara,21
246,Kolhabi,21
247,Nijgadh,21
248,Mahagadhimai,21
249,Simraungadh,21
250,Pacharauta,21
251,Bishrampur,21
252,Prasauni,21
253,Adarsh Kotwal,21
254,Karaiyamai,21
255,Devtal,21
256,Parwanipur,21
257,Baragadhi,21
258,Suwarna,21
259,Feta,21
260,Birgunj,22
261,Bahudarmai,22
262,Parsagadhi,22
263,Pokhariya,22
264,Kalikamai,22
265,Dhobini,22
266,Chhipaharmai,22
267,Pakaha Mainpur,22
268,Bindabasini,22
269,Jagarnathpur,22
270,Jirabhawani,22
271,Thori,22
272,Paterwa Sugauli,22
273,Sakhuwa Prasauni,22
274,Bhimeswor,23
275,Jiri,23
276,Kalinchok,23
277,Melung,23
278,Bigu,23
279,Gaurishankar,23
280,Baiteshwor,23
281,Sailung,23
282,Tamakoshi,23
283,Manthali,24
284,Likhutamakoshi,24
285,Umakunda,24
286,Khandadevi,24
287,Doramba,24
288,Gokulganga,24
289,Sunapati,24
290,Kamalamai,25
291,Dudhauli,25
292,Sunkoshi,25
293,Hariharpurgadhi,25
294,Tinpatan,25
295,Marin,25
296,Golanjor,25
297,Phikkal,25
298,Ghyanglekh,25
299,Chautara Sangachowkgadhi,26
300,Bahrabise,26
301,Melamchi,26
302,Balephi,26
303,Sunkoshi,26
304,Indrawati,26
305,Jugal,26
306,Panchpokhari Thangpal,26
307,Bhotekoshi,26
308,Lisankhu Pakhar,26
309,Helambu,26
310,Tripurasundari,26
311,Banepa,27
312,Bethanchok,27
313,Bhumlu,27
314,Chauri Deurali,27
315,Dhulikhel,27
316,Khani Khola,27
317,Mahabharat,27
318,Mandandeupur,27
319,Namobuddha,27
320,Panauti,27
321,Panchkhal,27
322,Roshi,27
323,Temal,27
324,Kathmandu,28
325,Budhanilkantha,28
326,Tarakeshwar,28
327,Gokarneshwar,28
328,Chandragiri,28
329,Tokha,28
330,Kageshwari-Manohara,28
331,Nagarjun,28
332,Kirtipur,28
333,Dakshinkali,28
334,Shankharapur,28
335,Lalitpur,29
336,Mahalaxmi,29
337,Godawari,29
338,Konjyoson,29
339,Bagmati,29
340,Mahankal,29
341,Bhaktapur,30
342,Changunarayan,30
343,Madhyapur Thimi,30
344,Suryabinayak,30
345,Uttargaya,31
346,Kalika,31
347,Gosaikunda,31
348,Naukunda,31
349,Aamachhodingmo,31
350,Bidur,32
351,Belkotgadhi,32
352,Kakani,32
353,Panchakanya,32
354,Likhu,32
355,Dupcheshwar,32
356,Shivapuri,32
357,Tadi,32
358,Suryagadhi,32
359,Tarkeshwar,32
360,Kispang,32
361,Myagang,32
362,Hetauda,33
363,Thaha,33
364,Bhimphedi,33
365,Makawanpurgadhi,33
366,Manahari,33
367,Raksirang,33
368,Bakaiya,33
369,Bagmati,33
370,Kailash,33
371,Indrasarowar,33
372,Dhunibeshi,34
373,Nilkantha,34
374,Khaniyabas,34
375,Gajuri,34
376,Galchhi,34
377,Gangajamuna,34
378,Jwalamukhi,34
379,Thakre,34
380,Netrawati Dabjong,34
381,Benighat Rorang,34
382,Rubi Valley,34
383,Siddhalek,34
384,Tripurasundari,34
385,Bharatpur,35
386,Kalika,35
387,Khairahani,35
388,Madi,35
389,Ratnanagar,35
390,Rapti,35
391,Ichchhakamana,35
392,Gorkha,36
